,Unnamed: 0,Participant,GameID,Run,Trial,BalloonCount,PopPoint,Condition,P2,Fixation,Photo,NewBalloon,OutcomeScreen,Winner,Looking,SBRating,PressPump,ReleasePump,Tokens,CashIn,Pop,P2_PopPoint,P2_PressPump,P2_ReleasePump,P2_Tokens,P2_CashIn,P2_Pop,Onset,Dur,Restarted,HitBlockTime,Trigger,Break,Session,P2ID,Repeat,P2Repeat
0,0,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414376020432,3.71153903008,0.0,0.0,0.0,0.0,5,1,0,0
1,1,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.232213974,0.0,0.0,0.0,0.0,0.0,5,1,0,0
2,2,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73232102394,2.52310013771,0.0,0.0,0.0,0.0,5,1,0,0
3,3,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3006401062,0.0,0.0,0.0,0.0,0.0,5,1,0,0
4,4,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2013092041,0.0,0.0,0.0,0.0,0.0,5,1,0,0
5,5,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3345720768,0.0,0.0,0.0,0.0,0.0,5,1,0,0
6,6,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73455905914,0.0,0.0,0.0,0.0,0.0,5,1,0,0
7,7,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.90118718147,0.0,0.0,0.0,0.0,0.0,5,1,0,0
8,8,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0679171085,0.0,0.0,0.0,0.0,0.0,5,1,0,0
9,9,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7344830036,0.0,0.0,0.0,0.0,0.0,5,1,0,0
10,10,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1344630718,0.0,0.0,0.0,0.0,0.0,5,1,0,0
11,11,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.251139164,0.0,0.0,0.0,0.0,0.0,5,1,0,0
12,12,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3843891621,0.0,0.0,0.0,0.0,0.0,5,1,0,0
13,13,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4510891438,0.0,0.0,0.0,0.0,0.0,5,1,0,0
14,14,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5844650269,0.0,0.0,0.0,0.0,0.0,5,1,0,0
15,15,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6511449814,0.0,0.0,0.0,0.0,0.0,5,1,0,0
16,16,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7344770432,0.0,0.0,0.0,0.0,0.0,5,1,0,0
17,17,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8344790936,0.0,0.0,0.0,0.0,0.0,5,1,0,0
18,18,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9177629948,0.0,0.0,0.0,0.0,0.0,5,1,0,0
19,19,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0176820755,0.0,0.0,0.0,0.0,0.0,5,1,0,0
20,20,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.334359169,0.0,0.0,0.0,0.0,0.0,5,1,0,0
21,21,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4344661236,0.0,0.0,0.0,0.0,0.0,5,1,0,0
22,22,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5510511398,0.0,0.0,0.0,0.0,0.0,5,1,0,0
23,23,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6010429859,0.0,0.0,0.0,0.0,0.0,5,1,0,0
24,24,38.0,22222.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.614590168,0.0,0.0,0.0,0.0,0.0,5,1,0,0
25,25,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6691391468,3.51216387749,0.0,0.0,0.0,0.0,5,1,0,0
26,26,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2171061039,0.0,0.0,0.0,0.0,0.0,5,1,0,0
27,27,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7173230648,2.07412695885,0.0,0.0,0.0,0.0,5,1,0,0
28,28,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8326070309,0.0,0.0,0.0,0.0,0.0,5,1,0,0
29,29,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6838979721,0.0,0.0,0.0,0.0,0.0,5,1,0,0
30,30,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1505880356,0.0,0.0,0.0,0.0,0.0,5,1,0,0
31,31,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5505170822,0.0,0.0,0.0,0.0,0.0,5,1,0,0
32,32,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6838731766,0.0,0.0,0.0,0.0,0.0,5,1,0,0
33,33,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1505291462,0.0,0.0,0.0,0.0,0.0,5,1,0,0
34,34,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2838761806,0.0,0.0,0.0,0.0,0.0,5,1,0,0
35,35,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4505751133,0.0,0.0,0.0,0.0,0.0,5,1,0,0
36,36,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5504879951,0.0,0.0,0.0,0.0,0.0,5,1,0,0
37,37,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6837491989,0.0,0.0,0.0,0.0,0.0,5,1,0,0
38,38,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7837941647,0.0,0.0,0.0,0.0,0.0,5,1,0,0
39,39,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8837761879,0.0,0.0,0.0,0.0,0.0,5,1,0,0
40,40,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9504849911,0.0,0.0,0.0,0.0,0.0,5,1,0,0
41,41,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0671591759,0.0,0.0,0.0,0.0,0.0,5,1,0,0
42,42,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1338481903,0.0,0.0,0.0,0.0,0.0,5,1,0,0
43,43,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2504889965,0.0,0.0,0.0,0.0,0.0,5,1,0,0
44,44,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3504741192,0.0,0.0,0.0,0.0,0.0,5,1,0,0
45,45,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7837510109,0.0,0.0,0.0,0.0,0.0,5,1,0,0
46,46,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9003591537,0.0,0.0,0.0,0.0,0.0,5,1,0,0
47,47,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0336961746,0.0,0.0,0.0,0.0,0.0,5,1,0,0
48,48,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1337251663,0.0,0.0,0.0,0.0,0.0,5,1,0,0
49,49,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.250442028,0.0,0.0,0.0,0.0,0.0,5,1,0,0
50,50,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3503701687,0.0,0.0,0.0,0.0,0.0,5,1,0,0
51,51,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8170390129,0.0,0.0,0.0,0.0,0.0,5,1,0,0
52,52,38.0,22222.0,1.0,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.983656168,0.0,0.0,0.0,0.0,0.0,5,1,0,0
